Name,Morningstar Category,YTD (Daily),1 Yr,3 Yr,5 Yr,10 Yr,Life of Fund,Expense Ratio - Net,Expense Ratio - Gross,Morningstar- Overall,Morningstar- 3yrs,Morningstar- 5yrs,Morningstar- 10yrs,Morningstar Category Risk,Standard Deviation,3 Year Sharpe Ratio,Beta,R2,Manager Tenure,Inception Date,Assets (Millions),Turnover Rates,Minimum Investment,Load (Y/N),Expense Ratio - Net,Expense Ratio - Gross,NTF,1-year Rank,3-year Rank,5-year Rank,10-year Rank,Average Maturity,Average Duration,Minimum Investment,7-Day Yield,30-Day Yield,Last Dividend,YTD (Daily),1 Month,3 Month,YTD,NAV ($),NAV Change ($),NAV Change (%),30-Day Yield (%),7-Day Yield (%),Minimum Investment,Last Dividend
Principal Equity Income Fund Class C (PEUCX),Large Value,13.94%,40.16% (6/30/2021),12.85% (6/30/2021),12.76% (6/30/2021),11.05% (6/30/2021),8.19% (6/30/2021),1.63%,1.63%,4 (1141 Rated),4 (1141 Rated),4 (1012 Rated),3 (740 Rated),6,18.50 (06/30/2021),0.62 (06/30/2021),0.91 (06/30/2021),0.98 (06/30/2021),11 years,05/31/1939,"$10,254.13",16.9% (10/31/2020),"$2,500.00",N,1.63%,1.63%,N,  60% (1210 Funds),  37% (1141 Funds),  37% (1012 Funds),  51% (740 Funds),-,-,"$2,500",-,0.35% (06/30/2021),$0.0446 (06/17/2021),13.94% (7/15/2021),-0.50% (6/30/2021),5.43% (6/30/2021),12.99% (6/30/2021),$39.20,-$0.07,-0.18%,-,-,"$2,500.00",$0.0446 (06/17/2021)
Principal Equity Income Fund Institutional Class (PEIIX),Large Value,14.62%,41.72% (6/30/2021),14.11% (6/30/2021),14.02% (6/30/2021),12.31% (6/30/2021),9.11% (6/30/2021),0.52%,0.54%,4 (1141 Rated),4 (1141 Rated),4 (1012 Rated),4 (740 Rated),6,18.50 (06/30/2021),0.69 (06/30/2021),0.91 (06/30/2021),0.98 (06/30/2021),11 years,05/31/1939,"$10,254.13",16.9% (10/31/2020),"$1,000,000.00",N,0.52%,0.54%,N,  55% (1210 Funds),  22% (1141 Funds),  20% (1012 Funds),  15% (740 Funds),-,-,"$1,000,000",-,1.45% (06/30/2021),$0.1605 (06/17/2021),14.62% (7/15/2021),-0.39% (6/30/2021),5.71% (6/30/2021),13.63% (6/30/2021),$40.41,-$0.08,-0.20%,-,-,"$1,000,000.00",$0.1605 (06/17/2021)
Principal LargeCap Growth Fund I Class A (PLGAX),Large Growth,16.12%,40.65% (6/30/2021),24.35% (6/30/2021),24.40% (6/30/2021),17.31% (6/30/2021),8.55% (6/30/2021),0.99%,1.01%,4 (1138 Rated),4 (1138 Rated),4 (1024 Rated),4 (761 Rated),6,19.15 (06/30/2021),1.20 (06/30/2021),0.96 (06/30/2021),0.98 (06/30/2021),12 years,12/06/2000,"$14,177.64",33.6% (10/31/2020),"$2,500.00",Y,0.99%,1.01%,Y,  52% (1239 Funds),  30% (1138 Funds),  20% (1024 Funds),  27% (761 Funds),-,-,"$2,500",-,-,$0.0025 (12/20/2019),16.12% (7/15/2021),6.46% (6/30/2021),13.17% (6/30/2021),14.27% (6/30/2021),$22.62,-$0.12,-0.53%,-,-,"$2,500.00",$0.0025 (12/20/2019)
Principal LargeCap Growth Fund I Institutional Class (PLGIX),Large Growth,16.26%,40.99% (6/30/2021),24.75% (6/30/2021),24.89% (6/30/2021),17.83% (6/30/2021),8.93% (6/30/2021),0.68%,0.70%,4 (1138 Rated),4 (1138 Rated),4 (1024 Rated),4 (761 Rated),6,19.15 (06/30/2021),1.22 (06/30/2021),0.96 (06/30/2021),0.98 (06/30/2021),12 years,12/06/2000,"$14,177.64",33.6% (10/31/2020),"$1,000,000.00",N,0.68%,0.70%,N,  49% (1239 Funds),  26% (1138 Funds),  17% (1024 Funds),  20% (761 Funds),-,-,"$1,000,000",-,-,$0.0028 (12/20/2019),16.26% (7/15/2021),6.47% (6/30/2021),13.23% (6/30/2021),14.40% (6/30/2021),$23.74,-$0.13,-0.54%,-,-,"$1,000,000.00",$0.0028 (12/20/2019)
Principal LargeCap S&P 500 Index Fund Class A (PLSAX),Large Blend,16.73%,40.16% (6/30/2021),18.13% (6/30/2021),17.11% (6/30/2021),14.26% (6/30/2021),7.27% (6/30/2021),0.42%,0.42%,4 (1257 Rated),3 (1257 Rated),3 (1099 Rated),4 (820 Rated),6,18.52 (06/30/2021),0.91 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),5 years,12/06/2000,"$5,982.08",6% (10/31/2020),"$2,500.00",Y,0.42%,0.42%,N,  59% (1386 Funds),  39% (1257 Funds),  39% (1099 Funds),  34% (820 Funds),-,-,"$2,500",-,-,$0.3299 (12/21/2020),16.73% (7/15/2021),2.27% (6/30/2021),8.39% (6/30/2021),14.97% (6/30/2021),$25.19,-$0.08,-0.32%,-,-,"$2,500.00",$0.3299 (12/21/2020)
Principal LargeCap S&P 500 Index Fund Class C (PLICX),Large Blend,16.16%,38.96% (6/30/2021),17.14% (6/30/2021),16.12% (6/30/2021),13.35% (6/30/2021),6.44% (6/30/2021),1.30%,1.30%,3 (1257 Rated),3 (1257 Rated),3 (1099 Rated),3 (820 Rated),6,18.48 (06/30/2021),0.86 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),5 years,12/06/2000,"$5,982.08",6% (10/31/2020),"$2,500.00",N,1.30%,1.30%,N,  70% (1386 Funds),  53% (1257 Funds),  61% (1099 Funds),  57% (820 Funds),-,-,"$2,500",-,-,$0.151 (12/21/2020),16.16% (7/15/2021),2.21% (6/30/2021),8.22% (6/30/2021),14.50% (6/30/2021),$24.44,-$0.08,-0.33%,-,-,"$2,500.00",$0.151 (12/21/2020)
Principal LargeCap S&P 500 Index Fund Institutional Class (PLFIX),Large Blend,16.88%,40.51% (6/30/2021),18.46% (6/30/2021),17.43% (6/30/2021),14.64% (6/30/2021),7.67% (6/30/2021),0.17%,0.17%,4 (1257 Rated),4 (1257 Rated),4 (1099 Rated),4 (820 Rated),6,18.51 (06/30/2021),0.93 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),5 years,12/06/2000,"$5,982.08",6% (10/31/2020),"$1,000,000.00",N,0.17%,0.17%,N,  56% (1386 Funds),  33% (1257 Funds),  31% (1099 Funds),  20% (820 Funds),-,-,"$1,000,000",-,-,$0.3762 (12/21/2020),16.88% (7/15/2021),2.31% (6/30/2021),8.48% (6/30/2021),15.12% (6/30/2021),$25.20,-$0.08,-0.32%,-,-,"$1,000,000.00",$0.3762 (12/21/2020)
Principal LargeCap Value Fund III Institutional Class (PLVIX),Large Value,15.91%,41.96% (6/30/2021),12.66% (6/30/2021),12.62% (6/30/2021),11.32% (6/30/2021),7.21% (6/30/2021),0.72%,0.79%,3 (1141 Rated),3 (1141 Rated),3 (1012 Rated),3 (740 Rated),6,19.64 (06/30/2021),0.58 (06/30/2021),0.97 (06/30/2021),0.99 (06/30/2021),12 years,12/06/2000,"$3,423.10",54.6% (10/31/2020),"$1,000,000.00",N,0.72%,0.79%,N,  53% (1210 Funds),  39% (1141 Funds),  40% (1012 Funds),  43% (740 Funds),-,-,"$1,000,000",-,-,$0.2705 (12/21/2020),15.91% (7/15/2021),-1.08% (6/30/2021),4.97% (6/30/2021),16.14% (6/30/2021),$20.04,-$0.02,-0.10%,-,-,"$1,000,000.00",$0.2705 (12/21/2020)
Principal MidCap Growth Fund III Institutional Class (PPIMX),Mid-Cap Growth,8.08%,41.65% (6/30/2021),21.43% (6/30/2021),19.68% (6/30/2021),12.99% (6/30/2021),7.20% (6/30/2021),0.87%,0.89%,3 (546 Rated),3 (546 Rated),3 (489 Rated),2 (379 Rated),6,21.70 (06/30/2021),0.93 (06/30/2021),0.98 (06/30/2021),0.98 (06/30/2021),12 years,12/06/2000,"$1,144.24",50.7% (10/31/2020),"$1,000,000.00",N,0.87%,0.89%,N,  68% (579 Funds),  40% (546 Funds),  50% (489 Funds),  73% (379 Funds),-,-,"$1,000,000",-,-,$0.0015 (12/20/2018),8.08% (7/15/2021),4.65% (6/30/2021),8.54% (6/30/2021),8.47% (6/30/2021),$16.59,-$0.08,-0.48%,-,-,"$1,000,000.00",$0.0015 (12/20/2018)
Principal MidCap Growth Fund Institutional Class (PGWIX),Mid-Cap Growth,5.72%,55.68% (6/30/2021),25.03% (6/30/2021),22.56% (6/30/2021),15.61% (6/30/2021),7.26% (6/30/2021),0.75%,0.78%,4 (546 Rated),4 (546 Rated),4 (489 Rated),4 (379 Rated),6,24.62 (06/30/2021),0.96 (06/30/2021),1.09 (06/30/2021),0.93 (06/30/2021),16 years,12/06/2000,$283.56,120.6% (10/31/2020),"$1,000,000.00",N,0.75%,0.78%,N,  19% (579 Funds),  22% (546 Funds),  21% (489 Funds),  17% (379 Funds),-,-,"$1,000,000",-,-,$0.0245 (12/22/2016),5.72% (7/15/2021),2.29% (6/30/2021),4.61% (6/30/2021),8.38% (6/30/2021),$13.50,-$0.14,-1.03%,-,-,"$1,000,000.00",$0.0245 (12/22/2016)
Principal MidCap S&P 400 Index Fund Institutional Class (MPSIX),Mid-Cap Blend,15.36%,52.85% (6/30/2021),12.94% (6/30/2021),14.04% (6/30/2021),12.15% (6/30/2021),9.81% (6/30/2021),0.23%,0.23%,4 (357 Rated),3 (357 Rated),3 (290 Rated),4 (202 Rated),6,23.78 (06/30/2021),0.49 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),5 years,12/06/2000,"$1,399.06",23.6% (10/31/2020),"$1,000,000.00",N,0.23%,0.23%,N,  35% (389 Funds),  52% (357 Funds),  44% (290 Funds),  32% (202 Funds),-,-,"$1,000,000",-,-,$0.237 (12/21/2020),15.36% (7/15/2021),-1.03% (6/30/2021),3.59% (6/30/2021),17.42% (6/30/2021),$24.64,-$0.07,-0.28%,-,-,"$1,000,000.00",$0.237 (12/21/2020)
Principal MidCap Value Fund I Class A (PCMVX),Mid-Cap Value,20.93%,52.69% (6/30/2021),12.87% (6/30/2021),12.63% (6/30/2021),10.92% (6/30/2021),9.95% (6/30/2021),1.27%,1.29%,4 (395 Rated),4 (395 Rated),4 (346 Rated),4 (246 Rated),6,22.25 (06/30/2021),0.52 (06/30/2021),0.95 (06/30/2021),0.99 (06/30/2021),12 years,12/29/2003,"$2,876.73",65.9% (10/31/2020),"$2,500.00",Y,1.27%,1.29%,Y,  58% (414 Funds),  25% (395 Funds),  36% (346 Funds),  45% (246 Funds),-,-,"$2,500",-,-,$0.1334 (12/21/2020),20.93% (7/15/2021),-2.04% (6/30/2021),5.36% (6/30/2021),21.87% (6/30/2021),$18.14,-$0.03,-0.17%,-,-,"$2,500.00",$0.1334 (12/21/2020)
Principal MidCap Value Fund I Institutional Class (PVMIX),Mid-Cap Value,21.05%,53.22% (6/30/2021),13.36% (6/30/2021),13.03% (6/30/2021),11.26% (6/30/2021),10.26% (6/30/2021),0.72%,0.81%,4 (395 Rated),4 (395 Rated),4 (346 Rated),4 (246 Rated),6,22.29 (06/30/2021),0.54 (06/30/2021),0.95 (06/30/2021),0.99 (06/30/2021),12 years,12/29/2003,"$2,876.73",65.9% (10/31/2020),"$1,000,000.00",N,0.72%,0.81%,N,  53% (414 Funds),  22% (395 Funds),  28% (346 Funds),  35% (246 Funds),-,-,"$1,000,000",-,-,$0.2065 (12/21/2020),21.05% (7/15/2021),-2.03% (6/30/2021),5.41% (6/30/2021),21.92% (6/30/2021),$18.17,-$0.03,-0.16%,-,-,"$1,000,000.00",$0.2065 (12/21/2020)
Principal SmallCap Fund Class A (PLLAX),Small Blend,14.37%,62.95% (6/30/2021),14.22% (6/30/2021),16.34% (6/30/2021),13.19% (6/30/2021),9.69% (6/30/2021),1.18%,1.18%,5 (603 Rated),4 (603 Rated),4 (512 Rated),5 (356 Rated),7,26.07 (06/30/2021),0.50 (06/30/2021),1.01 (06/30/2021),0.97 (06/30/2021),15 years,12/06/2000,"$1,387.86",41.6% (10/31/2020),"$2,500.00",Y,1.18%,1.18%,Y,  39% (653 Funds),  16% (603 Funds),  14% (512 Funds),   5% (356 Funds),-,-,"$2,500",-,-,$0.0036 (12/20/2019),14.37% (7/15/2021),2.24% (6/30/2021),5.81% (6/30/2021),19.48% (6/30/2021),$28.41,-$0.22,-0.77%,-,-,"$2,500.00",$0.0036 (12/20/2019)
Principal SmallCap Fund Class C (PSMCX),Small Blend,13.86%,61.56% (6/30/2021),13.28% (6/30/2021),15.39% (6/30/2021),12.28% (6/30/2021),8.87% (6/30/2021),2.03%,2.03%,4 (603 Rated),3 (603 Rated),3 (512 Rated),4 (356 Rated),7,26.02 (06/30/2021),0.46 (06/30/2021),1.00 (06/30/2021),0.97 (06/30/2021),15 years,12/06/2000,"$1,387.86",41.6% (10/31/2020),"$2,500.00",N,2.03%,2.03%,N,  45% (653 Funds),  28% (603 Funds),  30% (512 Funds),  23% (356 Funds),-,-,"$2,500",-,-,-,13.86% (7/15/2021),2.18% (6/30/2021),5.59% (6/30/2021),18.98% (6/30/2021),$24.23,-$0.18,-0.74%,-,-,"$2,500.00",-
Principal SmallCap Fund Institutional Class (PSLIX),Small Blend,14.57%,63.35% (6/30/2021),14.60% (6/30/2021),16.77% (6/30/2021),13.68% (6/30/2021),10.27% (6/30/2021),0.85%,0.87%,5 (603 Rated),4 (603 Rated),5 (512 Rated),5 (356 Rated),7,26.03 (06/30/2021),0.51 (06/30/2021),1.01 (06/30/2021),0.97 (06/30/2021),15 years,12/06/2000,"$1,387.86",41.6% (10/31/2020),"$1,000,000.00",N,0.85%,0.87%,N,  38% (653 Funds),  14% (603 Funds),   8% (512 Funds),   1% (356 Funds),-,-,"$1,000,000",-,-,$0.0342 (12/21/2020),14.57% (7/15/2021),2.27% (6/30/2021),5.87% (6/30/2021),19.66% (6/30/2021),$31.06,-$0.24,-0.77%,-,-,"$1,000,000.00",$0.0342 (12/21/2020)
Principal SmallCap Growth Fund I Institutional Class (PGRTX),Small Growth,3.43%,47.06% (6/30/2021),20.15% (6/30/2021),22.12% (6/30/2021),15.07% (6/30/2021),8.88% (6/30/2021),0.94%,0.96%,4 (576 Rated),3 (576 Rated),3 (505 Rated),4 (379 Rated),7,24.68 (06/30/2021),0.76 (06/30/2021),0.95 (06/30/2021),0.96 (06/30/2021),12 years,12/06/2000,"$3,010.50",67.6% (10/31/2020),"$1,000,000.00",N,0.94%,0.96%,N,  75% (612 Funds),  41% (576 Funds),  36% (505 Funds),  27% (379 Funds),-,-,"$1,000,000",-,-,-,3.43% (7/15/2021),3.61% (6/30/2021),5.04% (6/30/2021),7.96% (6/30/2021),$18.98,-$0.18,-0.94%,-,-,"$1,000,000.00",-
Principal SmallCap S&P 600 Index Fund Institutional Class (PSSIX),Small Blend,17.95%,66.70% (6/30/2021),11.98% (6/30/2021),15.57% (6/30/2021),13.22% (6/30/2021),10.74% (6/30/2021),0.21%,0.24%,4 (603 Rated),3 (603 Rated),3 (512 Rated),5 (356 Rated),7,25.98 (06/30/2021),0.41 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),5 years,12/06/2000,"$1,481.51",21.4% (10/31/2020),"$1,000,000.00",N,0.21%,0.24%,N,  22% (653 Funds),  47% (603 Funds),  28% (512 Funds),   5% (356 Funds),-,-,"$1,000,000",-,-,$0.2739 (12/21/2020),17.95% (7/15/2021),0.36% (6/30/2021),4.43% (6/30/2021),23.21% (6/30/2021),$31.81,-$0.17,-0.53%,-,-,"$1,000,000.00",$0.2739 (12/21/2020)
Principal SmallCap Value Fund II Institutional Class (PPVIX),Small Value,20.88%,68.59% (6/30/2021),9.76% (6/30/2021),12.06% (6/30/2021),10.64% (6/30/2021),8.85% (6/30/2021),0.96%,1.12%,4 (409 Rated),3 (409 Rated),3 (383 Rated),4 (285 Rated),7,26.78 (06/30/2021),0.32 (06/30/2021),0.99 (06/30/2021),0.99 (06/30/2021),12 years,06/01/2004,"$1,417.32",92.2% (10/31/2020),"$1,000,000.00",N,0.96%,1.12%,N,  55% (433 Funds),  41% (409 Funds),  50% (383 Funds),  35% (285 Funds),-,-,"$1,000,000",-,-,$0.0858 (12/21/2020),20.88% (7/15/2021),-1.60% (6/30/2021),5.27% (6/30/2021),25.40% (6/30/2021),$13.66,-$0.05,-0.36%,-,-,"$1,000,000.00",$0.0858 (12/21/2020)
Principal Small-MidCap Dividend Income Fund Class A (PMDAX),Mid-Cap Value,17.55%,45.61% (6/30/2021),6.04% (6/30/2021),9.53% (6/30/2021),10.24% (6/30/2021),10.27% (6/30/2021),1.12%,1.18%,2 (395 Rated),1 (395 Rated),1 (346 Rated),3 (246 Rated),6,25.02 (06/30/2021),0.19 (06/30/2021),0.96 (06/30/2021),0.98 (06/30/2021),10 years,06/06/2011,"$1,104.51",28.9% (08/31/2020),"$2,500.00",Y,1.12%,1.18%,Y,  86% (414 Funds),  96% (395 Funds),  89% (346 Funds),  66% (246 Funds),-,-,"$2,500",-,0.78% (06/30/2021),$0.0067 (06/17/2021),17.55% (7/15/2021),-1.90% (6/30/2021),4.43% (6/30/2021),18.76% (6/30/2021),$16.49,-$0.03,-0.18%,-,-,"$2,500.00",$0.0067 (06/17/2021)
Principal Small-MidCap Dividend Income Fund Class C (PMDDX),Mid-Cap Value,17.13%,44.55% (6/30/2021),5.24% (6/30/2021),8.71% (6/30/2021),9.42% (6/30/2021),9.46% (6/30/2021),1.87%,1.93%,1 (395 Rated),1 (395 Rated),1 (346 Rated),2 (246 Rated),6,24.98 (06/30/2021),0.16 (06/30/2021),0.96 (06/30/2021),0.98 (06/30/2021),10 years,06/06/2011,"$1,104.51",28.9% (08/31/2020),"$2,500.00",N,1.87%,1.93%,N,  87% (414 Funds),  98% (395 Funds),  97% (346 Funds),  83% (246 Funds),-,-,"$2,500",-,0.03% (06/30/2021),$0.0301 (03/17/2021),17.13% (7/15/2021),-1.96% (6/30/2021),4.24% (6/30/2021),18.36% (6/30/2021),$16.31,-$0.03,-0.18%,-,-,"$2,500.00",$0.0301 (03/17/2021)
Principal Small-MidCap Dividend Income Fund Institutional Class (PMDIX),Mid-Cap Value,17.73%,45.99% (6/30/2021),6.34% (6/30/2021),9.85% (6/30/2021),10.63% (6/30/2021),10.66% (6/30/2021),0.85%,0.90%,2 (395 Rated),1 (395 Rated),2 (346 Rated),3 (246 Rated),6,25.05 (06/30/2021),0.20 (06/30/2021),0.96 (06/30/2021),0.98 (06/30/2021),10 years,06/06/2011,"$1,104.51",28.9% (08/31/2020),"$1,000,000.00",N,0.85%,0.90%,N,  86% (414 Funds),  94% (395 Funds),  84% (346 Funds),  52% (246 Funds),-,-,"$1,000,000",-,1.05% (06/30/2021),$0.0177 (06/17/2021),17.73% (7/15/2021),-1.88% (6/30/2021),4.54% (6/30/2021),18.93% (6/30/2021),$16.58,-$0.03,-0.18%,-,-,"$1,000,000.00",$0.0177 (06/17/2021)
Private Capital Management Value Fund Class I (VFPIX),Small Blend,24.57%,97.51% (6/30/2021),11.74% (6/30/2021),15.66% (6/30/2021),10.73% (6/30/2021),11.82% (6/30/2021),1.20%,1.83%,2 (603 Rated),2 (603 Rated),3 (512 Rated),2 (356 Rated),7,30.04 (06/30/2021),0.35 (06/30/2021),1.12 (06/30/2021),0.91 (06/30/2021),11 years,05/28/2010,$36.40,20% (04/30/2021),"$5,000.00",N,1.20%,1.83%,N,   1% (653 Funds),  51% (603 Funds),  26% (512 Funds),  69% (356 Funds),-,-,"$5,000",-,-,$0.217385 (12/08/2016),24.57% (7/15/2021),1.86% (6/30/2021),10.25% (6/30/2021),28.39% (6/30/2021),$15.97,-$0.02,-0.13%,-,-,"$5,000.00",$0.217385 (12/08/2016)
ProFunds Large Cap Growth Fund Investor Class (LGPIX),Large Growth,16.34%,38.82% (6/30/2021),20.76% (6/30/2021),19.57% (6/30/2021),15.05% (6/30/2021),10.06% (6/30/2021),1.69%,1.69%,3 (1138 Rated),3 (1138 Rated),2 (1024 Rated),3 (761 Rated),6,18.63 (06/30/2021),1.04 (06/30/2021),0.99 (06/30/2021),1.00 (06/30/2021),8 years,10/01/2002,$16.81,358% (07/31/2020),"$15,000.00",N,1.69%,1.69%,Y,  66% (1239 Funds),  64% (1138 Funds),  72% (1024 Funds),  67% (761 Funds),-,-,"$15,000",-,-,-,16.34% (7/15/2021),5.55% (6/30/2021),11.48% (6/30/2021),13.45% (6/30/2021),$144.46,-$0.85,-0.58%,-,-,"$15,000.00",-
ProFunds Large Cap Value Fund Investor Class (LVPIX),Large Value,15.54%,37.08% (6/30/2021),11.07% (6/30/2021),10.48% (6/30/2021),9.84% (6/30/2021),7.50% (6/30/2021),1.72%,1.72%,2 (1141 Rated),3 (1141 Rated),2 (1012 Rated),2 (740 Rated),6,19.69 (06/30/2021),0.50 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,10/01/2002,$6.10,481% (07/31/2020),"$15,000.00",N,1.72%,1.72%,Y,  73% (1210 Funds),  65% (1141 Funds),  79% (1012 Funds),  82% (740 Funds),-,-,"$15,000",-,-,$0.417358 (12/28/2017),15.54% (7/15/2021),-1.31% (6/30/2021),4.53% (6/30/2021),15.31% (6/30/2021),$83.94,-$0.03,-0.04%,-,-,"$15,000.00",$0.417358 (12/28/2017)
ProFunds Mid Cap Growth Fund Investor Class (MGPIX),Mid-Cap Growth,9.01%,42.80% (6/30/2021),12.14% (6/30/2021),13.14% (6/30/2021),10.54% (6/30/2021),8.20% (6/30/2021),1.77%,1.77%,1 (546 Rated),1 (546 Rated),1 (489 Rated),1 (379 Rated),6,21.64 (06/30/2021),0.50 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,09/04/2001,$4.89,457% (07/31/2020),"$15,000.00",N,1.77%,1.77%,Y,  64% (579 Funds),  98% (546 Funds),  98% (489 Funds),  96% (379 Funds),-,-,"$15,000",-,-,-,9.01% (7/15/2021),0.90% (6/30/2021),2.89% (6/30/2021),11.23% (6/30/2021),$124.76,-$0.56,-0.45%,-,-,"$15,000.00",-
ProFunds Mid Cap Value Fund Investor Class (MLPIX),Mid-Cap Value,19.79%,58.42% (6/30/2021),9.57% (6/30/2021),10.90% (6/30/2021),9.86% (6/30/2021),7.83% (6/30/2021),1.78%,2.10%,2 (395 Rated),2 (395 Rated),2 (346 Rated),2 (246 Rated),6,26.67 (06/30/2021),0.31 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,09/04/2001,$8.13,322% (07/31/2020),"$15,000.00",N,1.78%,2.10%,Y,  36% (414 Funds),  72% (395 Funds),  67% (346 Funds),  73% (246 Funds),-,-,"$15,000",-,-,$0.174744 (12/30/2020),19.79% (7/15/2021),-2.98% (6/30/2021),3.35% (6/30/2021),21.77% (6/30/2021),$94.72,-$0.16,-0.17%,-,-,"$15,000.00",$0.174744 (12/30/2020)
ProFunds NASDAQ-100 Fund Investor Class (OTPIX),Large Growth,13.78%,41.03% (6/30/2021),25.75% (6/30/2021),25.54% (6/30/2021),18.94% (6/30/2021),5.85% (6/30/2021),1.56%,1.56%,5 (1138 Rated),4 (1138 Rated),4 (1024 Rated),5 (761 Rated),6,20.26 (06/30/2021),1.21 (06/30/2021),-,-,8 years,08/07/2000,$157.20,39% (07/31/2020),"$15,000.00",N,1.56%,1.56%,Y,  49% (1239 Funds),  17% (1138 Funds),  14% (1024 Funds),   9% (761 Funds),-,-,"$15,000",-,-,-,13.78% (7/15/2021),6.24% (6/30/2021),10.83% (6/30/2021),11.99% (6/30/2021),$137.77,-$0.99,-0.71%,-,-,"$15,000.00",-
ProFunds Small Cap Fund Investor Class (SLPIX),Small Blend,10.27%,58.78% (6/30/2021),10.79% (6/30/2021),13.76% (6/30/2021),10.17% (6/30/2021),7.68% (6/30/2021),1.78%,2.42%,3 (603 Rated),3 (603 Rated),3 (512 Rated),2 (356 Rated),7,25.64 (06/30/2021),0.37 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,09/04/2001,$11.33,109% (07/31/2020),"$15,000.00",N,1.78%,2.42%,Y,  58% (653 Funds),  64% (603 Funds),  57% (512 Funds),  80% (356 Funds),-,-,"$15,000",-,-,-,10.27% (7/15/2021),1.77% (6/30/2021),3.76% (6/30/2021),16.41% (6/30/2021),$115.20,-$0.64,-0.55%,-,-,"$15,000.00",-
ProFunds Small Cap Growth Fund Investor Class (SGPIX),Small Growth,11.00%,54.88% (6/30/2021),11.19% (6/30/2021),14.84% (6/30/2021),11.87% (6/30/2021),9.28% (6/30/2021),1.78%,1.83%,2 (576 Rated),1 (576 Rated),1 (505 Rated),2 (379 Rated),7,24.21 (06/30/2021),0.41 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,09/04/2001,$11.46,442% (07/31/2020),"$15,000.00",N,1.78%,1.83%,Y,  42% (612 Funds),  93% (576 Funds),  90% (505 Funds),  85% (379 Funds),-,-,"$15,000",-,-,-,11.00% (7/15/2021),1.44% (6/30/2021),3.37% (6/30/2021),15.54% (6/30/2021),$121.73,-$0.80,-0.65%,-,-,"$15,000.00",-
ProFunds Small Cap Value Fund Investor Class (SVPIX),Small Value,23.59%,74.29% (6/30/2021),9.01% (6/30/2021),12.51% (6/30/2021),10.75% (6/30/2021),7.70% (6/30/2021),1.78%,2.02%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,28.62 (06/30/2021),0.27 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),8 years,09/04/2001,$19.71,624% (07/31/2020),"$15,000.00",N,1.78%,2.02%,Y,  36% (433 Funds),  49% (409 Funds),  41% (383 Funds),  30% (285 Funds),-,-,"$15,000",-,-,$0.060063 (12/30/2019),23.59% (7/15/2021),-0.79% (6/30/2021),4.86% (6/30/2021),29.57% (6/30/2021),$104.82,-$0.45,-0.43%,-,-,"$15,000.00",$0.060063 (12/30/2019)
Prospector Opportunity Fund (POPFX),Mid-Cap Blend,13.74%,39.93% (6/30/2021),12.61% (6/30/2021),12.88% (6/30/2021),11.40% (6/30/2021),9.96% (6/30/2021),1.26%,1.40%,4 (357 Rated),4 (357 Rated),3 (290 Rated),4 (202 Rated),6,18.32 (06/30/2021),0.62 (06/30/2021),0.66 (06/30/2021),0.85 (06/30/2021),14 years,09/28/2007,$214.15,52% (12/31/2020),"$10,000.00",N,1.26%,1.40%,N,  87% (389 Funds),  60% (357 Funds),  68% (290 Funds),  55% (202 Funds),-,-,"$10,000",-,-,$0.16548592 (12/03/2020),13.74% (7/15/2021),-2.67% (6/30/2021),3.91% (6/30/2021),15.36% (6/30/2021),$25.91,$0.01,0.04%,-,-,"$10,000.00",$0.16548592 (12/03/2020)
Provident Trust Strategy Fund (PROVX),Large Growth,22.74%,42.00% (6/30/2021),18.96% (6/30/2021),19.96% (6/30/2021),14.00% (6/30/2021),11.00% (6/30/2021),0.97%,0.97%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),2 (761 Rated),6,15.46 (06/30/2021),1.14 (06/30/2021),0.80 (06/30/2021),0.93 (06/30/2021),19 years,12/30/1986,$259.98,14% (09/30/2020),"$2,500.00",N,0.97%,0.97%,Y,  41% (1239 Funds),  82% (1138 Funds),  67% (1024 Funds),  82% (761 Funds),-,-,"$2,500",-,-,$0.05437846 (12/18/2020),22.74% (7/15/2021),2.64% (6/30/2021),11.23% (6/30/2021),19.99% (6/30/2021),$22.29,$0.01,0.04%,-,-,"$2,500.00",$0.05437846 (12/18/2020)
